,Série,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,A. France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.a. Séries macroéconomiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Indice des prix à la consommation (€, base 2000)",0.00042870489019094,0.000442066128976945,0.000474133102063355,0.000473751352383755,0.000425650892754139,0.000422978644996938,0.000416488900443736,0.00039663791710453,0.000402364162298532,0.000369151940173321,0.000464207610393752,0.000511544570664167,0.000573769768438988,0.000471460854306154,0.000390148172551328,0.000542466294711777,0.000542084545032177,0.000624924225505404,0.000513835068741768,0.00042870489019094,0.000381749679600125,0.000375324720055663,0.000353908188240789,0.000352837361650045,0.00035123112176393,0.000356049841422276,0.000369970587101944,0.000384962159372356,0.000421905676753013,0.000436361835728053,0.000426188983115988,0.000422976503343757,0.000420299436866898,0.000392993358802934,0.000389780879030703,0.000392993358802934,0.00039781207846128,0.000404772451301114,0.000424047329934501,0.000442786795272515,0.000435291009137309,0.000406914104482602,0.00041815778368541,0.000403166211414999,0.000417622370390038,0.00041226823743632,0.000440645142091028,0.000468486633450364,0.000403166211414999,0.000394599598689049,0.000390316292326074,0.000389780879030703,0.000406914104482602,0.000454030474475324,0.00050810721730788,0.000542373668211678,0.000551475694232999,0.000515603003443086,0.000467951220154992,0.000443322208567887,0.00049365105833284,0.000518815483215317,0.000503288497649533,0.000496863538105071,0.00048187196583466,0.000478124072767057,0.000501682257763418,0.000531665402304241,0.000542373668211678,0.00050810721730788,0.000519886309806061,0.000605017023770184,0.000560577720254321,0.000578246359001592,0.000587883798318285,0.000520957136396804,0.000540232015030191,0.000553617347414487,0.000560042306958949,0.000551475694232999,0.000573963052638617,0.000572892226047873,0.000560042306958949,0.000565931853208039,0.000553617347414487,0.0005343424687811,0.000532736228894985,0.000525240442759779,0.000504359324240277,0.000511855110375483,0.000522027962987548,0.000531665402304241,0.000508642630603252,0.000498469777991187,0.00051399676355697,0.000505965564126393,0.000499540604581931,0.000495257298218956,0.000501146844468046,0.000496328124809699,0.000499540604581931,0.000480265725948544,0.000474376179699454,0.000501682257763418,0.000494186471628212,0.000478659486062429,0.000474911592994826,0.000500076017877302,0.000507036390717136,0.000503288497649533,0.00051667383003383,0.000568608919684899,0.000581458838773823,0.000572892226047873,0.000572892226047873,0.000681741748996969,0.00076767558290415,0.000916627561676597,0.0011858869079191,0.00148379086546399,0.00204522524699091,0.00178742374526936,0.00171867667814362,0.00190773111273942,0.00217699045898192,0.00233167136001484,0.00303632879805373,0.00316809401004474,0.00316236508778426,0.00335714844464054,0.00338006413368245,0.00324829892169144,0.0029618528086675,0.00286446113023937,0.00274415376276931,0.00251499687235016,0.00269832238468548,0.00339725090046389,0.00385556468130219,0.00410763726076325,0.0048753128436674,0.00571746441595777,0.006868977790314,0.00853036524585283,0.0104266385140713,0.0154680901032926,0.0235974307909119,0.0352042272906418,0.0558684498841886,0.0632301149889038,0.0695548451644723,0.0808694666289178,0.0904825981820011,0.0889644337829742,0.0893425426521658,0.0901675074576747,0.0939600539941117,0.0968015994353091,0.11141608012179,0.118262142223062,0.122570291762942,0.126597724112059,0.132693297397208,0.139195624162852,0.143572520769858,0.14755412174089,0.15167830526781,0.155802488794729,0.162676128006261,0.17321570813061,0.182380560412653,0.1924618979229,0.204376205889556,0.219039969540825,0.249283982071566,0.278611509374103,0.30564782360613,0.334058865680463,0.364302878211204,0.403711743023989,0.458242614102143,0.519647124391831,0.581051634681518,0.636957233601979,0.6841562228545,0.724023330281387,0.743269520073677,0.766639893392886,0.787260811027483,0.815671853101815,0.843166409947944,0.870147735066278,0.891226895314977,0.909776556333832,0.924953551712895,0.940973713501906,0.95952337452076,0.971327704260032,0.978073035539615,0.983371372676883,1.0,1.0162703379224,1.03629536921151,1.0575719649562,1.08010012515645,1.10012515644556,1.1180225281602,1.13466833541927,1.1665832290363,1.16758448060075,1.18535669586984,1.21038798498123,1.23404255319149,1.24480600750939,1.25106382978723,1.25156445556946
3,Produit intérieur brut (milliards d'€),0.00995231822859343,0.010101725206234,0.0102533751231029,0.0104073016508295,0.0105635389665311,0.0107221217604015,0.0108830852434133,0.0110464651551359,0.0112122977716713,0.0113806199137083,0.0115514689546984,0.0116243019436627,0.0116975941507838,0.011771348471471,0.0118455678193895,0.0119202551265752,0.0143705764632439,0.0171150914541668,0.0154345849239349,0.0143232405265627,0.014484473512255,0.0149726960400728,0.0146133952783697,0.016287601120784,0.0158606083540658,0.0165071558578139,0.0166141059946159,0.016880996668327,0.0169603207123901,0.0182925122955753,0.0184529375007782,0.0179042929923502,0.018710134808616,0.0184828253788875,0.0187112657013012,0.019704835703313,0.0201172884212213,0.0193332566781704,0.0208743402959249,0.0202694742654319,0.0217549825855129,0.0227267425143098,0.0222063703230123,0.0219908544884295,0.0224013685331632,0.0226393406653523,0.0241120860537002,0.0280335372177379,0.0209888835693276,0.0227580843973001,0.0230684336613431,0.0228669732072767,0.0258268424766845,0.0263105414337614,0.0297203444357875,0.0298681682653551,0.0323291523044845,0.0322251101774445,0.0298453888555529,0.0287810572826662,0.0334162632871735,0.0343469879671068,0.0354350682863831,0.0351323121589408,0.0351216494564802,0.0337813800684006,0.0367168543670272,0.0364086053322568,0.0404542931355704,0.0409308836243403,0.0387078717174001,0.0382601997701522,0.0403164857840719,0.0391284022402028,0.0419934380801503,0.0423871502907036,0.0397486160999952,0.0413955189618665,0.0403303796084903,0.0370716315579895,0.0410497889123859,0.0428021879061781,0.0449941810423238,0.044012081523262,0.0420551525095436,0.0405510652382054,0.0407544643654465,0.0406215036968846,0.0414940681815782,0.0443078907384951,0.046734947997068,0.0473866652959486,0.0463628843036317,0.0454801417847712,0.0458950178441478,0.0438889757766713,0.0464598179623646,0.0491450418653626,0.0515355874458127,0.0526205981992292,0.0530000934731683,0.0499828717890102,0.0515045686750182,0.054753138691352,0.0534287018008654,0.0536606963574327,0.0575386889311385,0.0625881247706309,0.0603025906538081,0.0647860954823985,0.0660989003338371,0.0728433827523714,0.0797437668053677,0.0800843270597158,0.0822352990560819,0.0972816593348666,0.108896654833585,0.129257411801233,0.166238476680328,0.206769606604009,0.283322382871232,0.216047677256966,0.251439610065213,0.305277856574224,0.351041529310789,0.400570266908636,0.523064200556662,0.49194736521073,0.533731265031919,0.559672004557615,0.539732266287972,0.482705710187139,0.430100944485503,0.40185512255514,0.371562384864535,0.33024021237111,0.397941749195997,0.56021854883677,0.668765506110214,0.770285514813903,0.761850866536942,0.713963925202043,0.774681514605925,0.922132124643041,0.961518694521713,1.56045068835941,3.65663193204423,5.96098638882402,10.248955422549,13.244,15.538,19.573,22.816,23.664,25.138,27.014,29.776,33.623,38.822,42.362,46.948,50.902,57.053,63.968,70.951,76.629,83.046,89.799,97.966,112.707,126.117,140.697,157.096,180.141,210.08,236.64,273.409,307.693,349.63,399.426,453.113,511.411,587.436,652.348,709.871,760.861,818.008,859.751,928.546,1002.111,1058.977,1097.317,1136.272,1148.033,1185.873,1225.438,1258.72,1299.876,1358.956,1406.823,1486.297,1545.932,1594.83,1638.351,1708.257,1770.491,1854.384,1946.483,1994.516,1939.275,1997.265,2058.549,2086.815,2115.803,2141.368,2181.085
4,Revenu disponible des ménages (milliards d'€),0.00842124489511521,0.00854766697275088,0.00867598693388391,0.00880623327007083,0.00893843490059133,0.00907262117886943,0.00920882189899092,0.00934706730231871,0.0094873880842075,0.00962981540081922,0.00977438087604079,0.00983600917433511,0.00989802604426366,0.00996043393580348,0.0100232353143789,0.010086432660959,0.0121597944218931,0.0144820908282193,0.0130601148911693,0.0121197406870771,0.0122561694493513,0.0126692833968388,0.012365257778304,0.0137819023308563,0.013420598504513,0.0139676805752757,0.0140581774095698,0.0142840093888052,0.0143511301526094,0.0154783762184539,0.015614121469895,0.0151498809120963,0.015831751319134,0.0156394113707174,0.0158327082343002,0.0166734265589356,0.0170224271902842,0.0163590115757386,0.0176630135430064,0.0171512006312284,0.0184081770531833,0.0192304405853266,0.0187901229066843,0.01860776221643,0.0189551224217794,0.019156484713192,0.0204026616639849,0.0237208333540459,0.0177599353791311,0.0192569608056485,0.0195195656677013,0.0193490980659419,0.0218536184603557,0.0222629047471782,0.0251481406755935,0.0252732231580393,0.0273556072619695,0.0272675710666744,0.0252539481525476,0.0243533542789382,0.0282754761410706,0.0290630173228957,0.0299837064149964,0.0297275265547742,0.0297185042117781,0.0285844230376033,0.0310683014048594,0.0308074736709725,0.0342307693271545,0.0346340407186463,0.0327530189061287,0.0323742172024597,0.0341141623790384,0.0331088546458077,0.035533130868423,0.0358662740484452,0.0336336542634135,0.0350271961498091,0.0341259187653666,0.0313684993627292,0.0347346535132693,0.0362174619144596,0.0380722369109885,0.0372412244401822,0.035585351096067,0.0343126539249523,0.034484761952711,0.0343722560695931,0.0351105844714396,0.0374915261072404,0.039545202756183,0.0400966592962772,0.0392303776664862,0.0384834370281435,0.0388344881919913,0.0371370573892274,0.0393123989664507,0.0423970077314681,0.0435781612186892,0.044304859939608,0.0446478757271715,0.0427919538222297,0.0424922243926675,0.0450529282349972,0.0436534189258541,0.0421678103324291,0.0453031644702089,0.049066789678081,0.048740051692139,0.0517766838825733,0.0544677471665723,0.0593658107595552,0.0620970694606818,0.0620927403254451,0.06447035974725,0.077115434236396,0.0872837504305168,0.10475694786481,0.136228336315202,0.171329096605053,0.262279686226575,0.240702779303467,0.246652458685094,0.275351057474827,0.280223201148894,0.317134577057462,0.390306824988894,0.363346880309254,0.422704775925185,0.422103245261859,0.408383637820797,0.357541912735017,0.325421083998351,0.30120495863249,0.270716081412125,0.249495039414487,0.342952563155463,0.467585236597826,0.558610357583231,0.63540182571449,0.620623621570904,0.574375903674312,0.615466961163272,0.723496295277873,0.745010682922747,1.19403326179856,2.7631803474602,4.44843984588332,7.55319686643664,9.639,11.013,13.842,16.172,16.556,17.809,19.264,21.09,23.633,26.801,28.69,31.912,34.435,39.578,44.091,47.882,51.446,55.574,60.554,66.481,74.578,83.988,93.63,104.922,118.924,140.846,162.035,181.939,204.454,235.57,263.562,299.734,346.481,395.83,433.266,462.138,494.536,520.861,543.656,577.345,621.351,662.862,691.316,723.405,739.144,751.684,777.084,795.973,817.151,845.702,867.037,917.147,964.559,1003.415,1029.12,1074.673,1105.461,1156.091,1216.338,1253.856,1255.4,1285.201,1311.242,1318.259,1322.063,1333.055,1352.062
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A.b. Séries démographiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Population (y compris DOM) (milliers),28601.3538990878,28741.9505910585,28883.2384191854,29025.2207809109,29167.9010903786,29311.282778515,29455.3692931121,29600.1640989104,29745.6706776822,29891.8925283152,30038.8331668967,30186.4961267981,30334.88495876,30484.0032309775,30633.8545291861,30784.4424567476,30935.7706347371,31087.84270203,31240.6623153894,31394.2331495539,31548.5588973265,31703.6432696628,31906.9566365983,32111.5738387057,32317.5032373938,32524.7532476925,32733.3323385965,32943.249033412,33154.5119101044,33367.1296016488,33581.1107963835,33796.464238364,34001.9106764731,34208.6060096925,34416.5578299717,34625.7737754112,34836.2615305432,34971.7406439551,35107.7466391094,35244.2815650625,35381.34747884,35518.9464454671,35760.2770890139,36001.6077325608,36242.9383761077,36484.2690196546,36725.5996632014,36801.9057267175,36878.2117902336,36954.5178537497,37030.8239172658,37107.1299807818,37156.3728271042,37205.6156734266,37254.858519749,37304.1013660714,37353.3442123937,37490.0846782146,37626.8251440354,37763.5656098562,37900.306075677,38037.0465414979,38175.6183528431,38314.1901641883,38452.7619755335,38591.3337868787,38729.9055982239,38659.7040197891,38589.5024413543,38519.3008629195,38449.0992844847,38378.8977060499,38308.6961276151,38508.3636604822,38708.0311933493,38907.6987262164,39107.3662590835,39270.3560107538,39433.3457624242,39596.3355140945,39759.3252657649,39922.3150174353,40033.0096802426,40143.7043430499,40254.3990058573,40365.0936686646,40475.7883314719,40508.9560337469,40542.1237360219,40575.2914382969,40608.4591405719,40641.6268428469,40684.765204088,40727.9035653291,40771.0419265702,40814.1802878113,40857.3186490524,40963.7401723028,41070.1616955532,41176.5832188037,41283.0047420541,41389.4262653045,41467.9706400171,41546.5150147296,41625.0593894422,41703.6037641547,41782.1481388673,41852.9601658102,41923.7721927532,41994.5842196961,42065.396246639,42136.2082735819,41901.4908222065,41666.773370831,41432.0559194555,41197.33846808,40962.6210167045,40727.9035653291,40493.1861139536,40258.4686625781,40023.7512112027,39789.0337598272,40088.7639773183,40388.4941948095,40688.2244123007,40987.9546297919,41287.6848472831,41479.5691616715,41671.45347606,41863.3377904484,42055.2221048369,42247.1064192253,42242.6297968324,42238.1531744394,42233.6765520465,42229.1999296535,42224.7233072606,42123.0836306572,42021.4439540537,41919.8042774503,41818.1646008469,41716.5249242435,41614.88524764,41513.2455710366,41411.6058944332,41309.9662178298,41208.3265412263,41609.9791142476,42052.3421372809,42429.1132606403,42785.5301818692,43119.8693555338,43430.9595890395,43729.7190568442,44041.4496104933,44421.1052431249,44846.0128935588,45324.5018380375,45813.4261596777,46274.6172544038,46729.2824026204,47218.8317012695,48072.804991567,48910.0440365832,49415.5461035335,49873.1612250626,50288.3147335037,50681.7536152285,51057.2502355548,51469.0323459245,51933.6736001454,52423.4949837117,52883.6038760229,53310.5378430768,53660.426772045,53904.6956093713,54118.9911221572,54361.017816106,54597.336864048,54832.5061997836,55112.5480664635,55421.2580683818,55739.042,56035.818,56305.462,56582.342,56866.102,57168.661,57492.298,57827.972,58138.268,58425.686,58711.62,58961.04,59175.327,59383.995,59589.295,59795.262,60011.006,60315.408,60724.78,61163.24,61604.55,62037.546,62490.8,62958.327,63393.404,63781.275,64133.18,64458.72,64773.17,65087.321,65402.999,65709.393,66227.466,66504.102
8,Nombre de ménages (y compris DOM) (milliers),6882.0558734089,6915.88624008221,6949.88290789144,6984.046694329,7018.37842090587,7052.87891317137,7087.54900073298,7122.38951727634,7157.40130058524,7192.58519256182,7227.94203924677,7263.47269083969,7299.17800171956,7335.05883046522,7371.11603987611,7407.35049699291,7443.76307311849,7480.35464383877,7517.12608904387,7554.07829294916,7591.21214411662,7628.52853547616,7677.44978430926,7726.68476187474,7776.23548009421,7826.10396379159,7876.29225077588,7926.8023919244,7977.6364512666,8028.79650606845,8080.28464691724,8132.1029778071,8181.53748608417,8231.27250341963,8281.30985658787,8331.65138346814,8382.29893311203,8414.8979083728,8447.62366188337,8480.4766866876,8513.45747774682,8546.56653194725,8604.6354953507,8662.70445875415,8720.77342215761,8778.84238556106,8836.91134896451,8855.27210889393,8873.63286882335,8891.99362875277,8910.3543886822,8928.71514861162,8940.5639590194,8952.41276942719,8964.26157983498,8976.11039024277,8987.95920065055,9020.86168244408,9053.7641642376,9086.66664603112,9119.56912782465,9152.47160961817,9335.88714203347,9522.85284870487,9713.43577531676,9907.70421067873,10105.7277094492,10095.3346428491,10084.9190103145,10074.4807828047,10064.019931247,10053.536426537,10043.0302395388,10184.921049424,10328.5388464765,10473.9031039081,10621.0335045111,10686.4722333085,10752.1289236465,10818.0041830269,10884.0986205045,10950.4128466911,10983.478382324,11016.559531768,11049.6563007061,11082.7686948232,11115.896719806,11138.3520636109,11160.8452875562,11183.3764502115,11205.9456102326,11228.5528263612,11258.593227176,11288.7013054643,11318.8772013652,11349.1210552938,11379.4330079416,11412.8852566491,11446.3585897048,11479.8530174638,11513.3685502858,11546.9051985352,11601.426040862,11656.1624955447,11711.1153448975,11766.2853739317,11821.6733703648,11875.0861986583,11928.706210149,11982.5341484364,12036.570759666,12090.8167925374,12079.2074738177,12067.2306389354,12054.883129735,12042.161766677,12029.0633487076,12015.5846531278,12001.7224354611,11987.4734293211,11972.8343462782,11957.8018757249,12085.9610605713,12214.8109546863,12344.3546440774,12474.5952273598,12605.5358158056,12689.1911624643,12773.1283305379,12857.3481080075,12941.8512848695,13026.6386531407,13054.1056817028,13081.6304783425,13109.2131642146,13136.8538607273,13164.5526895425,13162.6335380091,13160.6380420958,13158.565865551,13156.4166709908,13154.1901198956,13151.8858726072,13149.5035883247,13147.0429251016,13144.5035398419,13141.8850882971,13221.0703409762,13312.3809847017,13382.1512851868,13444.8304175174,13499.9536696051,13547.2360348228,13590.1543960766,13636.5886341692,13767.1323302061,13911.948353123,14073.6631199389,14238.9142901913,14395.837372083,14541.3267847969,14702.791828049,14988.332861957,15251.7194323749,15412.3580712856,15565.6222092819,15721.0744769642,15898.1160776287,16098.360080165,16347.2163971933,16647.1075014467,16967.1994441584,17282.1929822677,17587.2136765388,17871.8011116192,18150.8774816954,18390.4280980771,18642.3581117461,18895.3893760105,19151.0946484378,19425.7196426323,19713.9715650939,19993.4764786994,20265.6340277498,20564.8269621344,20833.9613664018,21093.9690458431,21344.2230434863,21573.8068548165,21790.292365211,22030.2002359339,22295.2809816797,22561.4989601314,22825.8959363949,23095.8946090161,23371.3740213936,23640.0904533232,23904.349694343,24165.4374094341,24460.6296222727,24798.7919058571,25147.2425518632,25498.5216180913,25842.5864264857,26180.3054889557,26507.4784636577,26826.0631469534,27124.4446365562,27395.3225363098,27654.0697238098,27907.3456531299,28151.5553506299,28381.7263518617,28597.9866837127,28805.4458628212,29012.9050419298
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
